Fecha Nacimiento;Nivel Educativo;Completo Nivel Educativo;Idioma;
1991-02-26;Universitaria;Completó;Inglés;
1991-02-26;Secundaria;Completó;Italiano;
1991-02-26;Universitaria;Completó;Italiano;
1991-02-26;Secundaria;Completó;Portugues;
1991-02-26;Universitaria;Completó;Portugues;
1971-09-12;Terciaria;Completó;Inglés;
1971-09-12;Terciaria;Completó;Francés;
1971-09-12;Terciaria;Completó;Italiano;
1981-03-22;Primaria;Completó;Francés;
1981-03-22;Secundaria;Completó;Francés;
1981-03-22;Terciaria;Incompleto;Francés;
1994-04-14;Secundaria;Completó;Inglés;
1994-04-14;Terciaria;Incompleto;Inglés;
1994-04-14;Primaria;Completó;Inglés;
1974-11-12;Universitaria;Completó;Inglés;
1974-11-12;Universitaria;Completó;Portugues;
1974-09-27;Terciaria;Completó;Inglés;
1993-03-02;Primaria;Completó;Inglés;
1993-03-02;Secundaria;Incompleto;Inglés;
1988-09-08;Secundaria;Completó;Inglés;
1988-09-08;Terciaria;En Curso;Inglés;
1986-07-30;Primaria;Completó;Portugues;
1986-07-30;Secundaria;Completó;Portugues;
1986-07-30;Terciaria;Incompleto;Portugues;
1996-10-11;Primaria;Completó;Inglés;
1996-10-11;Secundaria;Incompleto;Inglés;
1993-05-02;Secundaria;Completó;Inglés;
1988-06-03;Primaria;Completó;Inglés;
1988-06-03;Secundaria;Completó;Inglés;
1988-06-03;Universitaria;Completó;Inglés;
1993-05-02;Secundaria;Completó;Portugues;
1987-07-23;Secundaria;Incompleto;Portugues;
1987-07-23;Secundaria;Incompleto;Inglés;
1996-07-30;Secundaria;Incompleto;Inglés;
1987-07-28;Terciaria;Completó;Inglés;
1987-07-28;Terciaria;Completó;Portugues;
1995-07-28;Secundaria;Completó;Inglés;
1995-07-28;Universitaria;En Curso;Inglés;
1988-02-07;Secundaria;Completó;Inglés;
1988-02-07;Primaria;Completó;Inglés;
1988-02-07;Terciaria;Incompleto;Inglés;
1996-12-07;Secundaria;Incompleto;Inglés;
1981-01-08;Secundaria;Completó;Inglés;
1981-01-08;Secundaria;Completó;Portugues;
1993-02-14;Secundaria;Completó;Inglés;
1993-02-14;Primaria;Completó;Inglés;
1958-03-29;Primaria;Completó;Inglés;
1958-03-29;Secundaria;Completó;Inglés;
1994-12-05;Primaria;Completó;Francés;
1994-12-05;Secundaria;Incompleto;Francés;
1980-08-03;Secundaria;Incompleto;Inglés;
1990-09-26;Universitaria;Completó;Inglés;
1990-09-26;Secundaria;Completó;Inglés;
1960-10-21;Primaria;Completó;Inglés;
1960-10-21;Primaria;Completó;Inglés;
1960-10-21;Secundaria;Completó;Inglés;
1960-10-21;Secundaria;Completó;Inglés;
1959-02-09;Secundaria;Completó;Italiano;
1997-10-27;Secundaria;En Curso;Inglés;
1997-10-27;Primaria;Completó;Inglés;
1997-08-08;Secundaria;Completó;Aleman;
1997-08-08;Secundaria;Completó;Inglés;
1994-03-27;Secundaria;Completó;Inglés;
1978-03-29;Secundaria;Completó;Inglés;
1986-03-12;Secundaria;Completó;Inglés;
1986-03-12;Primaria;Completó;Inglés;
1986-03-12;Universitaria;Completó;Inglés;
1987-01-16;Primaria;Completó;Inglés;
1987-01-16;Secundaria;Completó;Inglés;
1987-01-16;Universitaria;En Curso;Inglés;
1983-08-06;Secundaria;Completó;Inglés;
1983-08-06;Primaria;Completó;Inglés;
1982-01-18;Secundaria;Completó;Inglés;
1982-01-18;Primaria;Completó;Inglés;
1982-01-18;Terciaria;Incompleto;Inglés;
1985-05-12;Secundaria;Completó;Inglés;
1985-05-12;Terciaria;Incompleto;Inglés;
1985-05-12;Universitaria;Incompleto;Inglés;
1997-05-06;Primaria;Completó;Inglés;
1997-05-06;Secundaria;Completó;Inglés;
1997-05-06;Terciaria;En Curso;Inglés;
1996-05-08;Secundaria;Incompleto;Inglés;
1996-11-28;Secundaria;Completó;Inglés;
1996-11-28;Primaria;Completó;Inglés;
1989-03-09;Primaria;Completó;Inglés;
1989-03-09;Secundaria;Completó;Inglés;
1989-03-09;Universitaria;Completó;Inglés;
1982-08-16;Secundaria;Completó;Inglés;
1982-08-16;Terciaria;Completó;Inglés;
1989-04-16;Secundaria;Completó;Inglés;
1989-04-16;Secundaria;Completó;Portugues;
1997-06-19;Primaria;Completó;Inglés;
1997-06-19;Secundaria;Incompleto;Inglés;
1995-08-18;Primaria;Completó;Inglés;
1995-08-18;Secundaria;Completó;Inglés;
1995-08-18;Primaria;Completó;Portugues;
1995-08-18;Secundaria;Completó;Portugues;
1982-11-25;Primaria;Completó;Inglés;
1982-11-25;Secundaria;Incompleto;Inglés;
1990-05-11;Secundaria;Completó;Inglés;
1981-12-04;Secundaria;Completó;Inglés;
1981-12-04;Universitaria;Completó;Inglés;
1995-10-02;Universitaria;Incompleto;Inglés;
1995-10-02;Universitaria;Incompleto;Portugues;
1989-03-14;Secundaria;Incompleto;Inglés;
1986-08-15;Secundaria;Completó;Inglés;
1986-08-15;Universitaria;Completó;Inglés;
1984-07-11;Secundaria;Completó;Inglés;
1984-07-11;Primaria;Completó;Inglés;
1994-07-28;Secundaria;Incompleto;Inglés;
1994-07-28;Primaria;Completó;Inglés;
